# Splendor development cards grouped by cost type
#
# Row format:
# [card_id] { tier, bonus, points, { cost_white, cost_blue, cost_green, cost_red, cost_black } }
#
# Bonus letter mapping:
# W=white, B=blue, G=green, R=red, K=black
#
# Group rule:
# - Take non-zero costs from {w,b,g,r,k}
# - Sort descending and join as type key
#   e.g. 1111 / 22 / 311 / 5333
#
# First 3 type groups keep BRKWG; later groups use RWGBK.

## type 1111
[5]  {1, B, 0, {1, 0, 1, 1, 1}}
[13] {1, R, 0, {1, 1, 1, 0, 1}}
[21] {1, K, 0, {1, 1, 1, 1, 0}}
[29] {1, W, 0, {0, 1, 1, 1, 1}}
[37] {1, G, 0, {1, 1, 0, 1, 1}}

## type 2111
[6]  {1, B, 0, {1, 0, 1, 2, 1}}
[14] {1, R, 0, {2, 1, 1, 0, 1}}
[22] {1, K, 0, {1, 2, 1, 1, 0}}
[30] {1, W, 0, {0, 1, 2, 1, 1}}
[38] {1, G, 0, {1, 1, 0, 1, 2}}

## type 22
[2]  {1, B, 0, {0, 0, 2, 0, 2}}
[10] {1, R, 0, {2, 0, 0, 2, 0}}
[18] {1, K, 0, {2, 0, 2, 0, 0}}
[26] {1, W, 0, {0, 2, 0, 0, 2}}
[34] {1, G, 0, {0, 2, 0, 2, 0}}

## type 21
[9]  {1, R, 0, {0, 2, 1, 0, 0}}
[25] {1, W, 0, {0, 0, 0, 2, 1}}
[33] {1, G, 0, {2, 1, 0, 0, 0}}
[1]  {1, B, 0, {1, 0, 0, 0, 2}}
[17] {1, K, 0, {0, 0, 2, 1, 0}}

## type 221
[11] {1, R, 0, {2, 0, 1, 0, 2}}
[27] {1, W, 0, {0, 2, 2, 0, 1}}
[35] {1, G, 0, {0, 1, 0, 2, 2}}
[3]  {1, B, 0, {1, 0, 2, 2, 0}}
[19] {1, K, 0, {2, 2, 0, 1, 0}}

## type 311
[12] {1, R, 0, {1, 0, 0, 1, 3}}
[28] {1, W, 0, {3, 1, 0, 0, 1}}
[36] {1, G, 0, {1, 3, 1, 0, 0}}
[4]  {1, B, 0, {0, 1, 3, 1, 0}}
[20] {1, K, 0, {0, 0, 1, 3, 1}}

## type 3
[8]  {1, R, 0, {3, 0, 0, 0, 0}}
[24] {1, W, 0, {0, 3, 0, 0, 0}}
[32] {1, G, 0, {0, 0, 0, 3, 0}}
[0]  {1, B, 0, {0, 0, 0, 0, 3}}
[16] {1, K, 0, {0, 0, 3, 0, 0}}

## type 4
[15] {1, R, 1, {4, 0, 0, 0, 0}}
[31] {1, W, 1, {0, 0, 4, 0, 0}}
[39] {1, G, 1, {0, 0, 0, 0, 4}}
[7]  {1, B, 1, {0, 0, 0, 4, 0}}
[23] {1, K, 1, {0, 4, 0, 0, 0}}

## type 322
[46] {2, R, 1, {2, 0, 0, 2, 3}}
[58] {2, W, 1, {0, 0, 3, 2, 2}}
[64] {2, G, 1, {2, 3, 0, 0, 2}}
[40] {2, B, 1, {0, 2, 2, 3, 0}}
[52] {2, K, 1, {3, 2, 2, 0, 0}}

## type 332
[47] {2, R, 1, {0, 3, 0, 2, 3}}
[59] {2, W, 1, {2, 3, 0, 3, 0}}
[65] {2, G, 1, {3, 0, 2, 3, 0}}
[41] {2, B, 1, {0, 2, 3, 0, 3}}
[53] {2, K, 1, {3, 0, 3, 0, 2}}

## type 5
[48] {2, R, 2, {0, 0, 0, 0, 5}}
[60] {2, W, 2, {0, 0, 0, 5, 0}}
[66] {2, G, 2, {0, 0, 5, 0, 0}}
[42] {2, B, 2, {0, 5, 0, 0, 0}}
[54] {2, K, 2, {5, 0, 0, 0, 0}}

## type 53
[49] {2, R, 2, {3, 0, 0, 0, 5}}
[61] {2, W, 2, {0, 0, 0, 5, 3}}
[67] {2, G, 2, {0, 5, 3, 0, 0}}
[43] {2, B, 2, {5, 3, 0, 0, 0}}
[55] {2, K, 2, {0, 0, 5, 3, 0}}

## type 421
[50] {2, R, 2, {1, 4, 2, 0, 0}}
[62] {2, W, 2, {0, 0, 1, 4, 2}}
[68] {2, G, 2, {4, 2, 0, 0, 1}}
[44] {2, B, 2, {2, 0, 0, 1, 4}}
[56] {2, K, 2, {0, 1, 4, 2, 0}}

## type 6
[51] {2, R, 3, {0, 0, 0, 6, 0}}
[63] {2, W, 3, {6, 0, 0, 0, 0}}
[69] {2, G, 3, {0, 0, 6, 0, 0}}
[45] {2, B, 3, {0, 6, 0, 0, 0}}
[57] {2, K, 3, {0, 0, 0, 0, 6}}

## type 5333
[82] {3, W, 3, {0, 3, 3, 5, 3}}
[70] {3, B, 3, {3, 0, 3, 3, 5}}
[78] {3, K, 3, {3, 3, 5, 3, 0}}
[74] {3, R, 3, {3, 5, 3, 0, 3}}
[86] {3, G, 3, {5, 3, 0, 3, 3}}

## type 633
[84] {3, W, 4, {3, 0, 0, 3, 6}}
[72] {3, B, 4, {6, 3, 0, 0, 3}}
[80] {3, K, 4, {0, 0, 3, 6, 3}}
[76] {3, R, 4, {0, 3, 6, 3, 0}}
[88] {3, G, 4, {3, 6, 3, 0, 0}}

## type 7
[83] {3, W, 4, {0, 0, 0, 0, 7}}
[71] {3, B, 4, {7, 0, 0, 0, 0}}
[79] {3, K, 4, {0, 0, 0, 7, 0}}
[75] {3, R, 4, {0, 0, 7, 0, 0}}
[87] {3, G, 4, {0, 7, 0, 0, 0}}

## type 73
[85] {3, W, 5, {3, 0, 0, 0, 7}}
[73] {3, B, 5, {7, 3, 0, 0, 0}}
[81] {3, K, 5, {0, 0, 0, 7, 3}}
[77] {3, R, 5, {0, 0, 7, 3, 0}}
[89] {3, G, 5, {0, 7, 3, 0, 0}}
